timestamp,temperature,humidity,gas_voltage
2025-12-31 23:07:10,18.2,68,0.5981
2025-12-31 23:07:30,18.2,68,0.5963
2025-12-31 23:07:30,18.2,68,0.5963
2025-12-31 23:07:51,18.2,68,0.5939
2025-12-31 23:07:51,18.2,68,0.5939
2025-12-31 23:08:11,18.2,68,0.5917
2025-12-31 23:08:11,18.2,68,0.5917
2025-12-31 23:08:31,18.2,68,0.5883
2025-12-31 23:08:31,18.2,68,0.5883
2025-12-31 23:08:52,18.2,68,0.5853
2025-12-31 23:08:52,18.2,68,0.5853
2025-12-31 23:09:12,18.2,68,0.5839
2025-12-31 23:09:12,18.2,68,0.5839
2025-12-31 23:09:33,18.2,68,0.5854
2025-12-31 23:09:33,18.2,68,0.5854
2025-12-31 23:09:53,18.2,68,0.5813
2025-12-31 23:09:53,18.2,68,0.5813
2025-12-31 23:10:13,18.2,68,0.5785
2025-12-31 23:10:13,18.2,68,0.5785
2025-12-31 23:10:34,18.2,68,0.5776
2025-12-31 23:10:34,18.2,68,0.5776
2025-12-31 23:10:54,18.2,68,0.5799
2025-12-31 23:10:54,18.2,68,0.5799
2025-12-31 23:11:14,18.2,68,0.5724
2025-12-31 23:11:14,18.2,68,0.5724
2025-12-31 23:11:35,18.2,68,0.5717
2025-12-31 23:11:35,18.2,68,0.5717
2025-12-31 23:11:55,18.2,68,0.5695
2025-12-31 23:11:55,18.2,68,0.5695
2025-12-31 23:12:16,18.2,68,0.5677
2025-12-31 23:12:16,18.2,68,0.5677
2025-12-31 23:12:36,18.2,68,0.5663
2025-12-31 23:12:36,18.2,68,0.5663
2025-12-31 23:12:56,18.2,68,0.5653
2025-12-31 23:12:56,18.2,68,0.5653
2025-12-31 23:13:17,18.2,68,0.5793
2025-12-31 23:13:17,18.2,68,0.5793
2025-12-31 23:13:17,18.2,68,0.5793
2025-12-31 23:13:37,18.2,68,0.5711
2025-12-31 23:13:37,18.2,68,0.5711
2025-12-31 23:13:37,18.2,68,0.5711
2025-12-31 23:13:58,18.2,68,2.5078
2025-12-31 23:13:58,18.2,68,2.5078
2025-12-31 23:13:58,18.2,68,2.5078
2025-12-31 23:14:18,18.2,68,1.1613
2025-12-31 23:14:18,18.2,68,1.1613
2025-12-31 23:14:18,18.2,68,1.1613
2025-12-31 23:14:38,18.2,68,0.8664
2025-12-31 23:14:38,18.2,68,0.8664
2025-12-31 23:14:38,18.2,68,0.8664
2025-12-31 23:14:59,18.2,68,0.7451
2025-12-31 23:14:59,18.2,68,0.7451
2025-12-31 23:14:59,18.2,68,0.7451
2025-12-31 23:15:19,18.2,68,0.8838
2025-12-31 23:15:19,18.2,68,0.8838
2025-12-31 23:15:19,18.2,68,0.8838
2025-12-31 23:15:39,18.2,68,0.816
2025-12-31 23:15:39,18.2,68,0.816
2025-12-31 23:15:39,18.2,68,0.816
2025-12-31 23:16:00,18.2,68,0.7538
2025-12-31 23:16:00,18.2,68,0.7538
2025-12-31 23:16:00,18.2,68,0.7538
2025-12-31 23:16:20,18.2,68,0.7275
2025-12-31 23:16:20,18.2,68,0.7275
2025-12-31 23:16:20,18.2,68,0.7275
2025-12-31 23:16:41,18.2,68,0.6715
2025-12-31 23:16:41,18.2,68,0.6715
2025-12-31 23:16:41,18.2,68,0.6715
2025-12-31 23:17:01,18.2,68,0.6655
2025-12-31 23:17:01,18.2,68,0.6655
2025-12-31 23:17:01,18.2,68,0.6655
2025-12-31 23:17:21,18.2,68,0.6426
2025-12-31 23:17:21,18.2,68,0.6426
2025-12-31 23:17:21,18.2,68,0.6426
2025-12-31 23:17:42,18.2,68,0.6246
2025-12-31 23:17:42,18.2,68,0.6246
2025-12-31 23:17:42,18.2,68,0.6246
2025-12-31 23:18:02,18.2,68,0.615
2025-12-31 23:18:02,18.2,68,0.615
2025-12-31 23:18:02,18.2,68,0.615
2025-12-31 23:18:23,18.2,68,0.6141
2025-12-31 23:18:23,18.2,68,0.6141
2025-12-31 23:18:23,18.2,68,0.6141
2025-12-31 23:18:43,18.2,68,0.6074
2025-12-31 23:18:43,18.2,68,0.6074
2025-12-31 23:18:43,18.2,68,0.6074
2025-12-31 23:19:03,18.2,68,0.6036
2025-12-31 23:19:03,18.2,68,0.6036
2025-12-31 23:19:03,18.2,68,0.6036
2025-12-31 23:19:24,18.2,68,0.6006
2025-12-31 23:19:24,18.2,68,0.6006
2025-12-31 23:19:24,18.2,68,0.6006
2025-12-31 23:19:44,18.2,68,0.597
2025-12-31 23:19:44,18.2,68,0.597
2025-12-31 23:19:44,18.2,68,0.597
2025-12-31 23:20:04,18.2,68,0.595
2025-12-31 23:20:04,18.2,68,0.595
2025-12-31 23:20:04,18.2,68,0.595
2025-12-31 23:20:25,18.2,68,0.5906
2025-12-31 23:20:25,18.2,68,0.5906
2025-12-31 23:20:25,18.2,68,0.5906
2025-12-31 23:20:45,18.2,68,0.5875
2025-12-31 23:20:45,18.2,68,0.5875
2025-12-31 23:20:45,18.2,68,0.5875
2025-12-31 23:21:06,18.2,68,0.5851
2025-12-31 23:21:06,18.2,68,0.5851
2025-12-31 23:21:06,18.2,68,0.5851
2025-12-31 23:21:26,18.2,68,0.5833
2025-12-31 23:21:26,18.2,68,0.5833
2025-12-31 23:21:26,18.2,68,0.5833
2025-12-31 23:21:46,18.2,68,0.5799
2025-12-31 23:21:46,18.2,68,0.5799
2025-12-31 23:21:46,18.2,68,0.5799
2025-12-31 23:22:07,18.2,68,0.5787
2025-12-31 23:22:07,18.2,68,0.5787
2025-12-31 23:22:07,18.2,68,0.5787
2025-12-31 23:22:27,18.2,68,0.5747
2025-12-31 23:22:27,18.2,68,0.5747
2025-12-31 23:22:27,18.2,68,0.5747
2025-12-31 23:22:47,18.2,68,0.5741
2025-12-31 23:22:47,18.2,68,0.5741
2025-12-31 23:22:47,18.2,68,0.5741
2025-12-31 23:23:08,18.2,68,0.5711
2025-12-31 23:23:08,18.2,68,0.5711
2025-12-31 23:23:08,18.2,68,0.5711
2025-12-31 23:23:28,18.2,68,0.5697
2025-12-31 23:23:28,18.2,68,0.5697
2025-12-31 23:23:28,18.2,68,0.5697
2025-12-31 23:23:49,18.2,68,0.5716
2025-12-31 23:23:49,18.2,68,0.5716
2025-12-31 23:23:49,18.2,68,0.5716
2025-12-31 23:24:09,18.2,68,0.5703
2025-12-31 23:24:09,18.2,68,0.5703
2025-12-31 23:24:09,18.2,68,0.5703
2025-12-31 23:24:29,18.2,68,0.57
2025-12-31 23:24:29,18.2,68,0.57
2025-12-31 23:24:29,18.2,68,0.57
2025-12-31 23:24:50,18.2,68,0.5659
2025-12-31 23:24:50,18.2,68,0.5659
2025-12-31 23:24:50,18.2,68,0.5659
2025-12-31 23:25:10,18.2,68,0.5621
